Nombre Pilar,Categor’a,Pregunta,Respuesta,Descripci—n,Ejemplo,Nivel de respuesta (1 a 5)
01. Estrategia y Definici—n de Valor,01. Visi—n digital organizacional,01. ÀCada cu‡nto tiempo se revisa y actualiza la visi—n digital para adaptarse al entorno tecnol—gico?,La visi—n digital gu’a todas las ‡reas y se actualiza continuamente.,"La revisi—n de la visi—n digital es un proceso recurrente y adaptativo. Se considera input del entorno, competencia y tecnolog’a emergente para mantenerla vigente.","Cada semestre, un comit? digital evalœa si la visi—n actual responde a los retos y oportunidades del entorno.",5
01. Estrategia y Definici—n de Valor,02. Alineaci—n con la estrategia del negocio,01. ÀLas iniciativas digitales est‡n alineadas con los objetivos estrat?gicos del negocio?,No existe relaci—n entre la estrategia digital y la del negocio. Las iniciativas digitales son reactivas y aisladas.,Las decisiones digitales se toman sin relaci—n con los objetivos estrat?gicos. Se implementan tecnolog’as de forma reactiva y sin criterios alineados al negocio.,"Se compr— un sistema de gesti—n documental por sugerencia del proveedor, sin an‡lisis estrat?gico.",1
01. Estrategia y Definici—n de Valor,02. Alineaci—n con la estrategia del negocio,01. ÀLas iniciativas digitales est‡n alineadas con los objetivos estrat?gicos del negocio?,"Existe intenci—n de alinearlas, pero no hay mecanismos formales. Algunas iniciativas est‡n parcialmente conectadas.","Hay conciencia de la necesidad de alineaci—n, pero no hay estructuras, procesos ni m?tricas formales. Las iniciativas dependen del impulso individual de ciertas ‡reas.","El ‡rea comercial plante— un CRM, pero no se consult— con direcci—n o se integr— al plan estrat?gico.",2
01. Estrategia y Definici—n de Valor,02. Alineaci—n con la estrategia del negocio,01. ÀLas iniciativas digitales est‡n alineadas con los objetivos estrat?gicos del negocio?,La estrategia digital est‡ parcialmente integrada a los objetivos del negocio. Hay procesos definidos pero no aplicados consistentemente.,"Existen documentos y procesos que promueven la alineaci—n, pero su ejecuci—n es dispareja entre unidades o proyectos.","Se usa un modelo de alineaci—n estrat?gica digital, pero no todas las ‡reas lo aplican.",3
01. Estrategia y Definici—n de Valor,02. Alineaci—n con la estrategia del negocio,01. ÀLas iniciativas digitales est‡n alineadas con los objetivos estrat?gicos del negocio?,"Existe una clara alineaci—n entre ambas estrategias, con mecanismos establecidos y aplicados.",La estrategia digital se construye en funci—n de los objetivos del negocio y cuenta con estructuras de monitoreo y revisi—n.,Las iniciativas digitales se evalœan con base en su aporte a los objetivos estrat?gicos.,4
01. Estrategia y Definici—n de Valor,02. Alineaci—n con la estrategia del negocio,01. ÀLas iniciativas digitales est‡n alineadas con los objetivos estrat?gicos del negocio?,La estrategia digital est‡ completamente integrada y es un habilitador central de la estrategia del negocio.,La estrategia de negocio est‡ concebida con base en las capacidades digitales. La digitalizaci—n es el motor del crecimiento y diferenciaci—n competitiva.,Cada nueva l’nea de negocio es evaluada por su viabilidad y escalabilidad digital desde la etapa de dise–o.,5
01. Estrategia y Definici—n de Valor,02. Alineaci—n con la estrategia del negocio,01. ÀSe evalœa el impacto de la estrategia digital en los resultados del negocio?,No se realiza ningœn tipo de evaluaci—n del impacto digital.,La organizaci—n implementa iniciativas digitales sin medir su efecto en los resultados estrat?gicos o de operaci—n. No hay indicadores ni revisiones asociadas.,"Se implement— una app interna, pero nunca se midi— su impacto en eficiencia o satisfacci—n.",1
01. Estrategia y Definici—n de Valor,02. Alineaci—n con la estrategia del negocio,01. ÀSe evalœa el impacto de la estrategia digital en los resultados del negocio?,"Se realizan evaluaciones aisladas, sin una metodolog’a clara ni seguimiento.","Existen intentos de medir el impacto, pero no siguen una metodolog’a estandarizada ni generan acciones de mejora sistem‡ticas.","Despu?s del lanzamiento de una plataforma digital, se hizo una encuesta puntual, sin seguimiento.",2
01. Estrategia y Definici—n de Valor,02. Alineaci—n con la estrategia del negocio,01. ÀSe evalœa el impacto de la estrategia digital en los resultados del negocio?,Existen m?tricas y evaluaciones b‡sicas que dan visibilidad al desempe–o de las iniciativas digitales.,"Algunos indicadores permiten observar avances en digitalizaci—n, aunque aœn no est‡n alineados directamente con los objetivos del negocio.","Se mide la adopci—n digital (usuarios activos, visitas), pero no el impacto en ventas o eficiencia.",3
01. Estrategia y Definici—n de Valor,02. Alineaci—n con la estrategia del negocio,01. ÀSe evalœa el impacto de la estrategia digital en los resultados del negocio?,El impacto digital es monitoreado con indicadores clave vinculados a los objetivos del negocio.,"Los resultados digitales est‡n asociados a metas estrat?gicas, y se revisan peri—dicamente para ajustar las acciones.",Se mide el efecto de una automatizaci—n en reducci—n de tiempos de ciclo y satisfacci—n de cliente.,4
01. Estrategia y Definici—n de Valor,02. Alineaci—n con la estrategia del negocio,01. ÀSe evalœa el impacto de la estrategia digital en los resultados del negocio?,La estrategia digital es gestionada con base en KPIs integrados a los tableros estrat?gicos del negocio.,Las m?tricas digitales forman parte del tablero de direcci—n. Se da seguimiento ejecutivo a su cumplimiento y contribuci—n estrat?gica.,"El comit? directivo revisa mensualmente los KPIs de NPS digital, ahorros por automatizaci—n y retorno de la inversi—n.",5
01. Estrategia y Definici—n de Valor,02. Alineaci—n con la estrategia del negocio,01. ÀLa estrategia digital est‡ integrada al ciclo de planeaci—n estrat?gica y operativa del negocio?,No se considera la estrategia digital en el proceso de planeaci—n.,La planeaci—n digital se da de forma separada o improvisada. No forma parte del ciclo de planeaci—n organizacional.,TI realiza su plan anual sin coordinaci—n con el resto de las ‡reas.,1
01. Estrategia y Definici—n de Valor,02. Alineaci—n con la estrategia del negocio,01. ÀLa estrategia digital est‡ integrada al ciclo de planeaci—n estrat?gica y operativa del negocio?,La planeaci—n digital ocurre de forma separada y sin coordinaci—n con el resto del negocio.,"Existe un esfuerzo de planificaci—n digital, pero no se articula con el resto de las funciones clave del negocio.","El equipo digital presenta su plan, pero no est‡ incluido en el comit? de planeaci—n institucional.",2
01. Estrategia y Definici—n de Valor,02. Alineaci—n con la estrategia del negocio,01. ÀLa estrategia digital est‡ integrada al ciclo de planeaci—n estrat?gica y operativa del negocio?,"La estrategia digital participa parcialmente en el proceso de planeaci—n, pero sin estructuras formales.","El equipo digital es invitado ocasionalmente al ciclo de planeaci—n, pero no cuenta con una metodolog’a establecida para alinear prioridades.",TI participa en la planeaci—n estrat?gica de forma informal o bajo solicitud.,3
01. Estrategia y Definici—n de Valor,02. Alineaci—n con la estrategia del negocio,01. ÀLa estrategia digital est‡ integrada al ciclo de planeaci—n estrat?gica y operativa del negocio?,El plan digital se formula de forma coordinada y con m?todos consistentes dentro del proceso de planeaci—n.,"La estrategia digital es parte activa del ciclo anual de planeaci—n, con criterios y entregables claros.",El roadmap digital se integra en la matriz estrat?gica corporativa y se revisa anualmente.,4
01. Estrategia y Definici—n de Valor,02. Alineaci—n con la estrategia del negocio,01. ÀLa estrategia digital est‡ integrada al ciclo de planeaci—n estrat?gica y operativa del negocio?,"La estrategia digital es parte estructural del planeamiento estrat?gico y operativo, desde su dise–o hasta la ejecuci—n.","El ciclo de planeaci—n comienza con un diagn—stico digital, y todos los planes de las ‡reas integran metas y herramientas digitales desde su concepci—n.",Los indicadores y presupuestos digitales est‡n presentes en cada plan t‡ctico de negocio.,5
01. Estrategia y Definici—n de Valor,03. Technology Roadmap / Taxonom’a digital,01. ÀLa organizaci—n cuenta con un roadmap tecnol—gico formal y vigente?,No existe un roadmap tecnol—gico ni una clasificaci—n de tecnolog’as en la organizaci—n.,"No existe un documento que ordene o priorice el uso de tecnolog’a en la organizaci—n. Las decisiones se toman sin considerar interdependencias ni planes futuros, generando redundancias y falta de escalabilidad.",TI compra nuevas plataformas sin validar compatibilidad con los sistemas existentes.,1
01. Estrategia y Definici—n de Valor,03. Technology Roadmap / Taxonom’a digital,01. ÀLa organizaci—n cuenta con un roadmap tecnol—gico formal y vigente?,Hay iniciativas tecnol—gicas dispersas sin un roadmap formal o clasificaci—n estructurada.,"Aunque hay iniciativas tecnol—gicas en curso, no est‡n agrupadas ni alineadas en un roadmap. No hay jerarquizaci—n, criterios de evaluaci—n o conexi—n con las prioridades estrat?gicas.",Las iniciativas de automatizaci—n de distintas ‡reas no est‡n conectadas ni responden a un plan comœn.,2
01. Estrategia y Definici—n de Valor,03. Technology Roadmap / Taxonom’a digital,01. ÀLa organizaci—n cuenta con un roadmap tecnol—gico formal y vigente?,"Existe un roadmap b‡sico y una clasificaci—n incipiente, pero no se actualizan de forma sistem‡tica.","Existe una versi—n inicial de roadmap o taxonom’a, pero carece de actualizaci—n peri—dica. No se utiliza sistem‡ticamente para priorizar decisiones tecnol—gicas.","Existe un documento llamado 'roadmap digital', pero no se ha revisado desde hace m‡s de un a–o.",3
01. Estrategia y Definici—n de Valor,03. Technology Roadmap / Taxonom’a digital,01. ÀLa organizaci—n cuenta con un roadmap tecnol—gico formal y vigente?,"El roadmap est‡ bien estructurado, alineado con las prioridades de negocio y con una taxonom’a funcional.","El roadmap est‡ alineado con la estrategia de negocio y contiene una clasificaci—n estructurada de las tecnolog’as por procesos, criticidad o madurez.",Cada iniciativa digital est‡ asociada a un objetivo estrat?gico y clasificada por categor’a tecnol—gica.,4
01. Estrategia y Definici—n de Valor,03. Technology Roadmap / Taxonom’a digital,01. ÀLa organizaci—n cuenta con un roadmap tecnol—gico formal y vigente?,"El roadmap y la taxonom’a digital son herramientas estrat?gicas vivas, usadas para priorizar, innovar y gestionar tecnolog’as de forma proactiva.",El roadmap y la taxonom’a son herramientas activas en la planeaci—n y ejecuci—n digital. Se actualizan frecuentemente y gu’an las inversiones y proyectos digitales de forma integral.,La organizaci—n realiza sesiones trimestrales de actualizaci—n de roadmap con participaci—n de todas las ‡reas funcionales y t?cnicas.,5
01. Estrategia y Definici—n de Valor,03. Technology Roadmap / Taxonom’a digital,01. ÀQu? tan actualizado y alineado est‡ el roadmap con las necesidades del negocio y las tendencias tecnol—gicas?,No existe un roadmap tecnol—gico ni una clasificaci—n de tecnolog’as en la organizaci—n.,"No existe un documento que ordene o priorice el uso de tecnolog’a en la organizaci—n. Las decisiones se toman sin considerar interdependencias ni planes futuros, generando redundancias y falta de escalabilidad.",TI compra nuevas plataformas sin validar compatibilidad con los sistemas existentes.,1
01. Estrategia y Definici—n de Valor,03. Technology Roadmap / Taxonom’a digital,01. ÀQu? tan actualizado y alineado est‡ el roadmap con las necesidades del negocio y las tendencias tecnol—gicas?,Hay iniciativas tecnol—gicas dispersas sin un roadmap formal o clasificaci—n estructurada.,"Aunque hay iniciativas tecnol—gicas en curso, no est‡n agrupadas ni alineadas en un roadmap. No hay jerarquizaci—n, criterios de evaluaci—n o conexi—n con las prioridades estrat?gicas.",Las iniciativas de automatizaci—n de distintas ‡reas no est‡n conectadas ni responden a un plan comœn.,2
01. Estrategia y Definici—n de Valor,03. Technology Roadmap / Taxonom’a digital,01. ÀQu? tan actualizado y alineado est‡ el roadmap con las necesidades del negocio y las tendencias tecnol—gicas?,"Existe un roadmap b‡sico y una clasificaci—n incipiente, pero no se actualizan de forma sistem‡tica.","Existe una versi—n inicial de roadmap o taxonom’a, pero carece de actualizaci—n peri—dica. No se utiliza sistem‡ticamente para priorizar decisiones tecnol—gicas.","Existe un documento llamado 'roadmap digital', pero no se ha revisado desde hace m‡s de un a–o.",3
01. Estrategia y Definici—n de Valor,03. Technology Roadmap / Taxonom’a digital,01. ÀQu? tan actualizado y alineado est‡ el roadmap con las necesidades del negocio y las tendencias tecnol—gicas?,"El roadmap est‡ bien estructurado, alineado con las prioridades de negocio y con una taxonom’a funcional.","El roadmap est‡ alineado con la estrategia de negocio y contiene una clasificaci—n estructurada de las tecnolog’as por procesos, criticidad o madurez.",Cada iniciativa digital est‡ asociada a un objetivo estrat?gico y clasificada por categor’a tecnol—gica.,4
01. Estrategia y Definici—n de Valor,03. Technology Roadmap / Taxonom’a digital,01. ÀQu? tan actualizado y alineado est‡ el roadmap con las necesidades del negocio y las tendencias tecnol—gicas?,"El roadmap y la taxonom’a digital son herramientas estrat?gicas vivas, usadas para priorizar, innovar y gestionar tecnolog’as de forma proactiva.",El roadmap y la taxonom’a son herramientas activas en la planeaci—n y ejecuci—n digital. Se actualizan frecuentemente y gu’an las inversiones y proyectos digitales de forma integral.,La organizaci—n realiza sesiones trimestrales de actualizaci—n de roadmap con participaci—n de todas las ‡reas funcionales y t?cnicas.,5
01. Estrategia y Definici—n de Valor,03. Technology Roadmap / Taxonom’a digital,01. ÀSe utiliza una taxonom’a digital para clasificar tecnolog’as y procesos en la organizaci—n?,No existe un roadmap tecnol—gico ni una clasificaci—n de tecnolog’as en la organizaci—n.,"No existe un documento que ordene o priorice el uso de tecnolog’a en la organizaci—n. Las decisiones se toman sin considerar interdependencias ni planes futuros, generando redundancias y falta de escalabilidad.",TI compra nuevas plataformas sin validar compatibilidad con los sistemas existentes.,1
01. Estrategia y Definici—n de Valor,03. Technology Roadmap / Taxonom’a digital,01. ÀSe utiliza una taxonom’a digital para clasificar tecnolog’as y procesos en la organizaci—n?,Hay iniciativas tecnol—gicas dispersas sin un roadmap formal o clasificaci—n estructurada.,"Aunque hay iniciativas tecnol—gicas en curso, no est‡n agrupadas ni alineadas en un roadmap. No hay jerarquizaci—n, criterios de evaluaci—n o conexi—n con las prioridades estrat?gicas.",Las iniciativas de automatizaci—n de distintas ‡reas no est‡n conectadas ni responden a un plan comœn.,2
01. Estrategia y Definici—n de Valor,03. Technology Roadmap / Taxonom’a digital,01. ÀSe utiliza una taxonom’a digital para clasificar tecnolog’as y procesos en la organizaci—n?,"Existe un roadmap b‡sico y una clasificaci—n incipiente, pero no se actualizan de forma sistem‡tica.","Existe una versi—n inicial de roadmap o taxonom’a, pero carece de actualizaci—n peri—dica. No se utiliza sistem‡ticamente para priorizar decisiones tecnol—gicas.","Existe un documento llamado 'roadmap digital', pero no se ha revisado desde hace m‡s de un a–o.",3
01. Estrategia y Definici—n de Valor,03. Technology Roadmap / Taxonom’a digital,01. ÀSe utiliza una taxonom’a digital para clasificar tecnolog’as y procesos en la organizaci—n?,"El roadmap est‡ bien estructurado, alineado con las prioridades de negocio y con una taxonom’a funcional.","El roadmap est‡ alineado con la estrategia de negocio y contiene una clasificaci—n estructurada de las tecnolog’as por procesos, criticidad o madurez.",Cada iniciativa digital est‡ asociada a un objetivo estrat?gico y clasificada por categor’a tecnol—gica.,4
01. Estrategia y Definici—n de Valor,03. Technology Roadmap / Taxonom’a digital,01. ÀSe utiliza una taxonom’a digital para clasificar tecnolog’as y procesos en la organizaci—n?,"El roadmap y la taxonom’a digital son herramientas estrat?gicas vivas, usadas para priorizar, innovar y gestionar tecnolog’as de forma proactiva.",El roadmap y la taxonom’a son herramientas activas en la planeaci—n y ejecuci—n digital. Se actualizan frecuentemente y gu’an las inversiones y proyectos digitales de forma integral.,La organizaci—n realiza sesiones trimestrales de actualizaci—n de roadmap con participaci—n de todas las ‡reas funcionales y t?cnicas.,5
01. Estrategia y Definici—n de Valor,04. Curva S de adopci—n tecnol—gica,01. ÀSe evalœa la madurez de las tecnolog’as antes de adoptarlas?,"No se realiza ningœn an‡lisis sobre madurez, momento ni ciclo de vida de las tecnolog’as.","No se analiza la madurez ni el ciclo de vida de las tecnolog’as antes de adoptarlas. Las decisiones son impulsivas o por moda, generando riesgos de implementaci—n y sobrecostos.",Se adquiri— una soluci—n emergente que no ten’a soporte t?cnico estable.,1
01. Estrategia y Definici—n de Valor,04. Curva S de adopci—n tecnol—gica,01. ÀSe evalœa la madurez de las tecnolog’as antes de adoptarlas?,"Se hacen an‡lisis informales o reactivos, sin una metodolog’a o criterios establecidos.","Los an‡lisis son reactivos o informales, sin criterios uniformes ni procesos establecidos. La adopci—n tecnol—gica depende del l’der del proyecto.","Algunas ‡reas consultan proveedores, pero sin criterios formales de evaluaci—n.",2
01. Estrategia y Definici—n de Valor,04. Curva S de adopci—n tecnol—gica,01. ÀSe evalœa la madurez de las tecnolog’as antes de adoptarlas?,"Existen criterios b‡sicos para evaluar madurez y momento de adopci—n, pero no se aplican de forma consistente.","Se han definido algunos lineamientos para evaluar tecnolog’as, pero no son requeridos ni aplicados consistentemente.","Hay una plantilla para evaluar madurez tecnol—gica, pero se usa espor‡dicamente.",3
01. Estrategia y Definici—n de Valor,04. Curva S de adopci—n tecnol—gica,01. ÀSe evalœa la madurez de las tecnolog’as antes de adoptarlas?,Se cuenta con un enfoque estructurado para analizar la madurez y el impacto de nuevas tecnolog’as antes de adoptarlas.,"Existe una metodolog’a para analizar madurez tecnol—gica antes de su adopci—n, incluyendo factores t?cnicos, financieros y organizacionales.",Cada nueva tecnolog’a pasa por una matriz que considera nivel de madurez y momento de adopci—n.,4
01. Estrategia y Definici—n de Valor,04. Curva S de adopci—n tecnol—gica,01. ÀSe evalœa la madurez de las tecnolog’as antes de adoptarlas?,Se aplica una metodolog’a avanzada y sistem‡tica basada en curvas de madurez tecnol—gica y criterios de valor e impacto.,"La organizaci—n tiene un modelo robusto de evaluaci—n de tecnolog’as (p.ej., Curva S, Gartner, TRL), que se aplica a toda decisi—n tecnol—gica. Se consideran impacto, oportunidad, escalabilidad y riesgos.",El comit? digital evalœa tecnolog’as utilizando an‡lisis de curva S y retorno potencial antes de cualquier inversi—n.,5
01. Estrategia y Definici—n de Valor,04. Curva S de adopci—n tecnol—gica,01. ÀLa organizaci—n define el momento adecuado para incorporar nuevas tecnolog’as?,"No se realiza ningœn an‡lisis sobre madurez, momento ni ciclo de vida de las tecnolog’as.",El modelo de negocio es completamente f’sico o manual. No existen procesos ni canales digitales orientados al cliente.,El cliente debe acudir presencialmente a oficinas para todos los tr‡mites.,1
01. Estrategia y Definici—n de Valor,04. Curva S de adopci—n tecnol—gica,01. ÀLa organizaci—n define el momento adecuado para incorporar nuevas tecnolog’as?,"Se hacen an‡lisis informales o reactivos, sin una metodolog’a o criterios establecidos.","Hay presencia digital parcial, pero no coordinada ni enfocada en crear una experiencia coherente.","Existe una app, pero no tiene conexi—n con las sucursales o el sitio web.",2
01. Estrategia y Definici—n de Valor,04. Curva S de adopci—n tecnol—gica,01. ÀLa organizaci—n define el momento adecuado para incorporar nuevas tecnolog’as?,"Existen criterios b‡sicos para evaluar madurez y momento de adopci—n, pero no se aplican de forma consistente.","Algunas funciones est‡n digitalizadas, pero sin una estrategia omnicanal o personalizaci—n clara.","Los clientes pueden hacer pedidos en l’nea, pero deben ir a recogerlos sin seguimiento digital.",3
01. Estrategia y Definici—n de Valor,04. Curva S de adopci—n tecnol—gica,01. ÀLa organizaci—n define el momento adecuado para incorporar nuevas tecnolog’as?,Se cuenta con un enfoque estructurado para analizar la madurez y el impacto de nuevas tecnolog’as antes de adoptarlas.,"La experiencia digital del cliente est‡ conectada a trav?s de varios canales, con mediciones de desempe–o y retroalimentaci—n.","El cliente inicia su pedido por app, lo paga en l’nea y lo rastrea desde un portal.",4
01. Estrategia y Definici—n de Valor,04. Curva S de adopci—n tecnol—gica,01. ÀLa organizaci—n define el momento adecuado para incorporar nuevas tecnolog’as?,Se aplica una metodolog’a avanzada y sistem‡tica basada en curvas de madurez tecnol—gica y criterios de valor e impacto.,"Se ofrece una experiencia digital fluida, predictiva y en constante evoluci—n gracias al uso de anal’tica avanzada.",El sistema digital recomienda productos en funci—n del comportamiento del cliente y ajusta la experiencia en tiempo real.,5
01. Estrategia y Definici—n de Valor,04. Curva S de adopci—n tecnol—gica,01. ÀSe consideran el ciclo de vida y el impacto esperado de las tecnolog’as al momento de su adopci—n?,"No se realiza ningœn an‡lisis sobre madurez, momento ni ciclo de vida de las tecnolog’as.","Las decisiones tecnol—gicas son tomadas sin diagn—stico previo, lo que aumenta el riesgo de sobreinversi—n o adopci—n prematura.",Se compr— una tecnolog’a emergente sin evaluar si el mercado estaba listo o si hab’a soporte t?cnico disponible.,1
01. Estrategia y Definici—n de Valor,04. Curva S de adopci—n tecnol—gica,01. ÀSe consideran el ciclo de vida y el impacto esperado de las tecnolog’as al momento de su adopci—n?,"Se hacen an‡lisis informales o reactivos, sin una metodolog’a o criterios establecidos.","Las decisiones dependen de percepci—n o experiencia individual, sin proceso estructurado ni fuentes objetivas.","El ‡rea de TI eligi— una nueva plataforma porque otras empresas la est‡n usando, sin validar madurez.",2
01. Estrategia y Definici—n de Valor,04. Curva S de adopci—n tecnol—gica,01. ÀSe consideran el ciclo de vida y el impacto esperado de las tecnolog’as al momento de su adopci—n?,"Existen criterios b‡sicos para evaluar madurez y momento de adopci—n, pero no se aplican de forma consistente.","La organizaci—n tiene criterios generales, pero su aplicaci—n var’a entre ‡reas o depende del tipo de proyecto.","Algunos proyectos tecnol—gicos aplican el an‡lisis de madurez, pero no es un requisito institucional.",3
01. Estrategia y Definici—n de Valor,04. Curva S de adopci—n tecnol—gica,01. ÀSe consideran el ciclo de vida y el impacto esperado de las tecnolog’as al momento de su adopci—n?,Se cuenta con un enfoque estructurado para analizar la madurez y el impacto de nuevas tecnolog’as antes de adoptarlas.,"Se evalœa sistem‡ticamente cada nueva tecnolog’a segœn criterios definidos (madurez, riesgo, retorno, impacto).",Se usa una plantilla de an‡lisis tecnol—gico como requisito previo a cualquier compra tecnol—gica.,4
