Nombre Pilar,Categoría,Clasificación PASER,Tema,Pregunta,Respuesta,Descripción,Ejemplo,Nivel de respuesta (1 a 5)
04. Gente y Liderazgo para el Cambio,01. Liderazgo digital y sponsorship,01. Planeación,03. Claridad de roles en el liderazgo digital,01. ¿Qué tan claros y definidos están los roles de los líderes respecto a la transformación digital?,No hay roles definidos para liderar la transformación digital.,No existen roles definidos en la organización para liderar temas digitales. Las responsabilidades están dispersas o ignoradas.,"Cuando surge un proyecto digital, nadie sabe quién debe liderarlo ni quién tiene autoridad para decidir.",1
04. Gente y Liderazgo para el Cambio,01. Liderazgo digital y sponsorship,01. Planeación,03. Claridad de roles en el liderazgo digital,01. ¿Qué tan claros y definidos están los roles de los líderes respecto a la transformación digital?,"Algunos líderes tienen funciones relacionadas, pero no están formalmente estructuradas.","Algunas funciones digitales son asumidas de forma informal, sin estructura ni roles claramente definidos.","Un gerente operativo lidera iniciativas digitales por iniciativa propia, sin respaldo ni coordinación con otros líderes.",2
04. Gente y Liderazgo para el Cambio,01. Liderazgo digital y sponsorship,01. Planeación,03. Claridad de roles en el liderazgo digital,01. ¿Qué tan claros y definidos están los roles de los líderes respecto a la transformación digital?,Los roles están definidos y asignados en algunas áreas.,"Existen roles digitales identificados en algunas áreas, pero sin una estructura clara ni coordinación entre ellos.","Hay un responsable de innovación en una dirección, pero no tiene relación con quienes manejan tecnología o procesos.",3
04. Gente y Liderazgo para el Cambio,01. Liderazgo digital y sponsorship,01. Planeación,03. Claridad de roles en el liderazgo digital,01. ¿Qué tan claros y definidos están los roles de los líderes respecto a la transformación digital?,Existen roles claros y alineados a la estrategia digital organizacional.,"Los roles de liderazgo digital están claramente definidos, con responsables por área y mecanismos de coordinación.","Cada unidad tiene un sponsor digital, participan en comités y reportan avances alineados a una visión compartida.",4
04. Gente y Liderazgo para el Cambio,01. Liderazgo digital y sponsorship,01. Planeación,03. Claridad de roles en el liderazgo digital,01. ¿Qué tan claros y definidos están los roles de los líderes respecto a la transformación digital?,"Los roles están bien definidos, integrados a la gobernanza digital y con indicadores asociados.","Existe una estructura robusta de liderazgo digital, con responsabilidades formalizadas, indicadores de gestión y toma de decisiones colegiada.","Un comité digital con líderes de todas las áreas evalúa avances, define prioridades y reporta directamente a dirección general.",5
04. Gente y Liderazgo para el Cambio,02. Cultura y mentalidad digital,02. Asignación,01. Apertura al cambio y a la innovación digital,01. ¿Qué tan abierta está la organización al cambio y a la incorporación de nuevas soluciones digitales?,Existe resistencia generalizada al cambio digital en todos los niveles.,Existe resistencia generalizada al cambio digital; predomina una cultura conservadora y centrada en lo tradicional.,"Cuando se propone automatizar procesos, los equipos lo rechazan por temor a perder el control o el empleo.",1
04. Gente y Liderazgo para el Cambio,02. Cultura y mentalidad digital,02. Asignación,01. Apertura al cambio y a la innovación digital,01. ¿Qué tan abierta está la organización al cambio y a la incorporación de nuevas soluciones digitales?,"Hay apertura al cambio en algunos equipos, pero persisten actitudes reactivas.","Algunos equipos muestran interés, pero la apertura al cambio es puntual y no está generalizada en la cultura.","Un área adopta herramientas digitales, pero otras se mantienen reacias sin incentivos ni motivación.",2
04. Gente y Liderazgo para el Cambio,02. Cultura y mentalidad digital,02. Asignación,01. Apertura al cambio y a la innovación digital,01. ¿Qué tan abierta está la organización al cambio y a la incorporación de nuevas soluciones digitales?,La mayoría del personal muestra disposición a probar nuevas herramientas digitales.,"La mayoría del personal muestra disposición a adoptar cambios digitales, aunque con barreras estructurales.","Los colaboradores están dispuestos a usar nuevas plataformas, pero la curva de aprendizaje no está acompañada.",3
04. Gente y Liderazgo para el Cambio,02. Cultura y mentalidad digital,02. Asignación,01. Apertura al cambio y a la innovación digital,01. ¿Qué tan abierta está la organización al cambio y a la incorporación de nuevas soluciones digitales?,El cambio digital es bien recibido y es parte del discurso organizacional.,La cultura es proactiva al cambio; existe entusiasmo por innovar y probar nuevas soluciones digitales.,Los equipos colaboran en pruebas piloto y aportan ideas para mejorar procesos con herramientas digitales.,4
04. Gente y Liderazgo para el Cambio,02. Cultura y mentalidad digital,02. Asignación,01. Apertura al cambio y a la innovación digital,01. ¿Qué tan abierta está la organización al cambio y a la incorporación de nuevas soluciones digitales?,La innovación digital es parte del ADN de la cultura organizacional y se promueve activamente.,La innovación digital es parte de la identidad cultural; existe iniciativa constante por parte de todos los niveles.,Las personas proponen mejoras digitales espontáneamente y participan en comunidades de práctica internas.,5
04. Gente y Liderazgo para el Cambio,02. Cultura y mentalidad digital,02. Asignación,02. Comunicación interna sobre digitalización,01. ¿Qué tan frecuente y clara es la comunicación interna sobre iniciativas y logros digitales?,No se comunica internamente sobre temas digitales.,"No se comunican avances, iniciativas ni el propósito de la transformación digital.",El personal desconoce que se están implementando cambios tecnológicos en la organización.,1
04. Gente y Liderazgo para el Cambio,02. Cultura y mentalidad digital,02. Asignación,02. Comunicación interna sobre digitalización,01. ¿Qué tan frecuente y clara es la comunicación interna sobre iniciativas y logros digitales?,La comunicación es esporádica y poco relevante para el personal.,La comunicación sobre lo digital es esporádica y sin estrategia.,"Se manda un correo aislado sobre un nuevo sistema, pero no se explica su impacto ni beneficios.",2
04. Gente y Liderazgo para el Cambio,02. Cultura y mentalidad digital,02. Asignación,02. Comunicación interna sobre digitalización,01. ¿Qué tan frecuente y clara es la comunicación interna sobre iniciativas y logros digitales?,Se comunican iniciativas relevantes a ciertos niveles de la organización.,"Hay mensajes frecuentes sobre digitalización, aunque no siempre son claros ni transversales.","Se incluyen noticias digitales en boletines internos, pero no llegan a todas las áreas por igual.",3
04. Gente y Liderazgo para el Cambio,02. Cultura y mentalidad digital,02. Asignación,02. Comunicación interna sobre digitalización,01. ¿Qué tan frecuente y clara es la comunicación interna sobre iniciativas y logros digitales?,Hay canales establecidos para comunicar avances y fomentar el entendimiento digital.,"Existe una estrategia clara de comunicación interna sobre lo digital, con mensajes relevantes y consistentes.","Hay campañas internas con videos, infografías y testimonios sobre la transformación digital.",4
04. Gente y Liderazgo para el Cambio,02. Cultura y mentalidad digital,02. Asignación,02. Comunicación interna sobre digitalización,01. ¿Qué tan frecuente y clara es la comunicación interna sobre iniciativas y logros digitales?,"La comunicación sobre lo digital es estratégica, continua e inspiradora para toda la organización.","La comunicación es continua, multicanal y genera identificación y sentido de propósito.",Las personas reconocen la transformación como un proyecto colectivo gracias a la narrativa y visibilidad interna.,5
04. Gente y Liderazgo para el Cambio,02. Cultura y mentalidad digital,02. Asignación,03. Participación del personal en iniciativas digitales,01. ¿Qué tan involucrados están los colaboradores en la generación o implementación de iniciativas digitales?,El personal no participa en iniciativas digitales ni es consultado.,No se involucra al personal en ningún proyecto o iniciativa digital.,Las decisiones digitales se toman de forma unilateral sin consultar a los equipos afectados.,1
04. Gente y Liderazgo para el Cambio,02. Cultura y mentalidad digital,02. Asignación,03. Participación del personal en iniciativas digitales,01. ¿Qué tan involucrados están los colaboradores en la generación o implementación de iniciativas digitales?,Algunos equipos participan de forma puntual en ciertos proyectos.,La participación ocurre solo cuando es indispensable o se pide de forma informal.,"Se invita a algunos usuarios a probar un sistema al final del desarrollo, sin retroalimentación estructurada.",2
04. Gente y Liderazgo para el Cambio,02. Cultura y mentalidad digital,02. Asignación,03. Participación del personal en iniciativas digitales,01. ¿Qué tan involucrados están los colaboradores en la generación o implementación de iniciativas digitales?,Hay espacios definidos donde el personal puede aportar ideas digitales.,"Hay espacios de participación definidos, aunque limitados a ciertos roles o equipos.","Algunos proyectos recogen ideas o feedback del personal, pero no es algo generalizado.",3
04. Gente y Liderazgo para el Cambio,02. Cultura y mentalidad digital,02. Asignación,03. Participación del personal en iniciativas digitales,01. ¿Qué tan involucrados están los colaboradores en la generación o implementación de iniciativas digitales?,Los colaboradores son parte activa de la mejora continua digital.,La participación está institucionalizada en procesos de co-creación o mejora digital.,Existen mesas de trabajo por área donde los equipos colaboran activamente en iniciativas digitales.,4
04. Gente y Liderazgo para el Cambio,02. Cultura y mentalidad digital,02. Asignación,03. Participación del personal en iniciativas digitales,01. ¿Qué tan involucrados están los colaboradores en la generación o implementación de iniciativas digitales?,"La participación es transversal, continua y parte esencial del proceso de transformación.","La participación es continua, abierta y forma parte de la estrategia de innovación.","Se utilizan canales colaborativos donde todos pueden proponer ideas, votar o involucrarse en pilotos.",5
04. Gente y Liderazgo para el Cambio,03. Competencias y gestión del talento,03. Seguimiento,01. Capacitación en habilidades digitales,01. ¿Qué tan frecuente y estructurada es la capacitación del personal en competencias digitales clave?,No se brinda capacitación digital al personal.,No existen iniciativas para desarrollar habilidades digitales en el personal.,No se ofrece ningún tipo de capacitación o actualización relacionada con herramientas o entornos digitales.,1
04. Gente y Liderazgo para el Cambio,03. Competencias y gestión del talento,03. Seguimiento,01. Capacitación en habilidades digitales,01. ¿Qué tan frecuente y estructurada es la capacitación del personal en competencias digitales clave?,Hay capacitaciones ocasionales y no estructuradas.,"Se imparten capacitaciones puntuales, pero sin plan estructurado ni seguimiento.","Se lanza un curso básico de Office, pero no está vinculado con una estrategia de transformación digital.",2
04. Gente y Liderazgo para el Cambio,03. Competencias y gestión del talento,03. Seguimiento,01. Capacitación en habilidades digitales,01. ¿Qué tan frecuente y estructurada es la capacitación del personal en competencias digitales clave?,Existen programas básicos de capacitación en herramientas digitales.,"Existe un programa de formación digital, pero con baja cobertura o enfoque generalista.","Hay una plataforma con cursos digitales, pero pocos acceden o no están alineados con los roles.",3
04. Gente y Liderazgo para el Cambio,03. Competencias y gestión del talento,03. Seguimiento,01. Capacitación en habilidades digitales,01. ¿Qué tan frecuente y estructurada es la capacitación del personal en competencias digitales clave?,La capacitación está formalizada y se actualiza periódicamente.,"La capacitación digital está estructurada por perfiles y niveles, con monitoreo de avance.",Cada rol tiene una ruta de formación digital definida y se hace seguimiento del progreso.,4
04. Gente y Liderazgo para el Cambio,03. Competencias y gestión del talento,03. Seguimiento,01. Capacitación en habilidades digitales,01. ¿Qué tan frecuente y estructurada es la capacitación del personal en competencias digitales clave?,"La capacitación digital es continua, personalizada y alineada a los objetivos estratégicos.",La formación digital está integrada a la estrategia de talento y desarrollo organizacional.,"Los planes de carrera incluyen formación digital como eje clave, con evaluación periódica de competencias.",5
04. Gente y Liderazgo para el Cambio,03. Competencias y gestión del talento,03. Seguimiento,02. Evaluación de competencias digitales,01. ¿Qué tan evaluadas están las competencias digitales del personal en los procesos organizacionales?,No se evalúan competencias digitales en ningún proceso formal.,No se evalúan las habilidades digitales del personal.,La empresa desconoce si su equipo tiene las capacidades necesarias para enfrentar un entorno digital.,1
04. Gente y Liderazgo para el Cambio,03. Competencias y gestión del talento,03. Seguimiento,02. Evaluación de competencias digitales,01. ¿Qué tan evaluadas están las competencias digitales del personal en los procesos organizacionales?,Se consideran informalmente en algunos casos puntuales.,"Hay conocimiento general sobre brechas digitales, pero sin mecanismos formales de medición.","Se percibe que algunas áreas necesitan capacitación, pero no se ha diagnosticado formalmente.",2
04. Gente y Liderazgo para el Cambio,03. Competencias y gestión del talento,03. Seguimiento,02. Evaluación de competencias digitales,01. ¿Qué tan evaluadas están las competencias digitales del personal en los procesos organizacionales?,Se evalúan de manera básica en procesos de selección o desempeño.,"Existen evaluaciones internas o externas, pero sin impacto claro en decisiones de desarrollo.","Se aplicó un test digital, pero los resultados no se utilizaron para diseñar capacitaciones.",3
04. Gente y Liderazgo para el Cambio,03. Competencias y gestión del talento,03. Seguimiento,02. Evaluación de competencias digitales,01. ¿Qué tan evaluadas están las competencias digitales del personal en los procesos organizacionales?,La evaluación es sistemática e integrada en procesos de RRHH.,La organización evalúa competencias digitales y las integra a decisiones de formación.,Los resultados de evaluaciones se usan para segmentar necesidades y enfocar acciones de desarrollo.,4
04. Gente y Liderazgo para el Cambio,03. Competencias y gestión del talento,03. Seguimiento,02. Evaluación de competencias digitales,01. ¿Qué tan evaluadas están las competencias digitales del personal en los procesos organizacionales?,"La evaluación de competencias digitales es continua, automatizada y clave en la toma de decisiones sobre el talento.",Las competencias digitales son monitoreadas continuamente y condicionan decisiones de talento.,"Se consideran los niveles digitales en promociones, asignaciones estratégicas o cambios de rol.",5
04. Gente y Liderazgo para el Cambio,03. Competencias y gestión del talento,03. Seguimiento,03. Atracción y retención de talento digital,01. ¿Qué tan preparada está la organización para atraer y retener talento con competencias digitales?,No se cuenta con estrategias para atraer o retener talento digital.,No existe estrategia para atraer ni retener talento con capacidades digitales.,La empresa contrata por experiencia operativa sin considerar habilidades digitales.,1
04. Gente y Liderazgo para el Cambio,03. Competencias y gestión del talento,03. Seguimiento,03. Atracción y retención de talento digital,01. ¿Qué tan preparada está la organización para atraer y retener talento con competencias digitales?,Hay esfuerzos aislados y poco diferenciadores para este tipo de talento.,"Se han contratado perfiles digitales, pero sin una estrategia clara de atracción.","Llegan expertos digitales por contactos o azar, no por una política estructurada.",2
04. Gente y Liderazgo para el Cambio,03. Competencias y gestión del talento,03. Seguimiento,03. Atracción y retención de talento digital,01. ¿Qué tan preparada está la organización para atraer y retener talento con competencias digitales?,Se promueven vacantes y beneficios enfocados en perfiles digitales.,"Hay esfuerzos por atraer talento digital, pero sin alineación con el resto del modelo de talento.","Se lanzan vacantes atractivas para perfiles digitales, pero se integran a estructuras tradicionales sin adaptación.",3
04. Gente y Liderazgo para el Cambio,03. Competencias y gestión del talento,03. Seguimiento,03. Atracción y retención de talento digital,01. ¿Qué tan preparada está la organización para atraer y retener talento con competencias digitales?,"Hay una estrategia activa para atraer, retener y desarrollar talento digital.",La atracción y retención de talento digital es parte del modelo de gestión de personas.,"Hay planes de onboarding, formación y beneficios específicos para perfiles digitales clave.",4
04. Gente y Liderazgo para el Cambio,03. Competencias y gestión del talento,03. Seguimiento,03. Atracción y retención de talento digital,01. ¿Qué tan preparada está la organización para atraer y retener talento con competencias digitales?,La organización es reconocida por su propuesta de valor atractiva para talento digital y de innovación.,La organización es reconocida por su cultura y propuesta de valor para el talento digital.,"La empresa participa en rankings, eventos y comunidades como marca empleadora digitalmente atractiva.",5
04. Gente y Liderazgo para el Cambio,04. Gobernanza del cambio organizacional,04. Evaluación,01. Estructuras de gobernanza para la transformación digital,01. ¿Qué tan formalizadas están las estructuras responsables de liderar y coordinar la transformación digital?,No existen estructuras ni responsables definidos para el cambio digital.,No existen estructuras ni roles formales para coordinar la transformación digital.,"Los proyectos digitales se gestionan de manera aislada, sin responsables claros ni conexión transversal.",1
04. Gente y Liderazgo para el Cambio,04. Gobernanza del cambio organizacional,04. Evaluación,01. Estructuras de gobernanza para la transformación digital,01. ¿Qué tan formalizadas están las estructuras responsables de liderar y coordinar la transformación digital?,Hay responsables informales o equipos ad-hoc sin estructura establecida.,"Se han definido algunos responsables, pero sin estructura o alcance institucional claro.","Un gerente de área lidera una iniciativa digital, pero sin alineación con otros procesos de cambio.",2
04. Gente y Liderazgo para el Cambio,04. Gobernanza del cambio organizacional,04. Evaluación,01. Estructuras de gobernanza para la transformación digital,01. ¿Qué tan formalizadas están las estructuras responsables de liderar y coordinar la transformación digital?,Existen estructuras formales con roles definidos en algunas áreas.,Existen estructuras parciales o comités informales con foco digital.,"Hay un grupo de trabajo sobre digitalización, pero sin autoridad ni procesos formalizados.",3
04. Gente y Liderazgo para el Cambio,04. Gobernanza del cambio organizacional,04. Evaluación,01. Estructuras de gobernanza para la transformación digital,01. ¿Qué tan formalizadas están las estructuras responsables de liderar y coordinar la transformación digital?,"La estructura de gobernanza es transversal, con responsables y procesos claros.","La gobernanza del cambio está definida, con roles, responsabilidades y niveles de decisión.",Hay un comité de transformación digital con representación de distintas áreas y lineamientos claros.,4
04. Gente y Liderazgo para el Cambio,04. Gobernanza del cambio organizacional,04. Evaluación,01. Estructuras de gobernanza para la transformación digital,01. ¿Qué tan formalizadas están las estructuras responsables de liderar y coordinar la transformación digital?,"La gobernanza digital es estratégica, institucionalizada y con autoridad en toda la organización.","Existe una arquitectura formal de gobernanza que articula estrategia, operación y seguimiento del cambio digital.","Se cuenta con un modelo de gobernanza digital aprobado por dirección, con métricas, responsables y planes de evolución.",5
04. Gente y Liderazgo para el Cambio,04. Gobernanza del cambio organizacional,04. Evaluación,02. Participación interdepartamental en el cambio,01. ¿Qué tan involucradas están las distintas áreas de la organización en los procesos de cambio digital?,El cambio digital es gestionado por un área aislada sin colaboración.,No hay participación entre áreas para coordinar esfuerzos de cambio digital.,Cada área trabaja de forma independiente y desconoce las iniciativas digitales de otras.,1
04. Gente y Liderazgo para el Cambio,04. Gobernanza del cambio organizacional,04. Evaluación,02. Participación interdepartamental en el cambio,01. ¿Qué tan involucradas están las distintas áreas de la organización en los procesos de cambio digital?,"Algunas áreas participan, pero sin integración ni compromiso real.","Ocurre una colaboración ocasional, pero depende de relaciones personales o urgencias.","Dos gerencias se coordinan para una migración digital, pero no existe una práctica estructurada.",2
04. Gente y Liderazgo para el Cambio,04. Gobernanza del cambio organizacional,04. Evaluación,02. Participación interdepartamental en el cambio,01. ¿Qué tan involucradas están las distintas áreas de la organización en los procesos de cambio digital?,Hay coordinación entre áreas específicas para ejecutar proyectos digitales.,"Existen espacios de colaboración definidos, aunque con baja frecuencia o alcance.","Hay reuniones mensuales entre áreas para compartir avances digitales, pero sin decisiones clave.",3
04. Gente y Liderazgo para el Cambio,04. Gobernanza del cambio organizacional,04. Evaluación,02. Participación interdepartamental en el cambio,01. ¿Qué tan involucradas están las distintas áreas de la organización en los procesos de cambio digital?,La participación es activa y colaborativa entre departamentos.,La participación interdepartamental es activa y organizada para definir e implementar cambios.,Se realiza planificación conjunta entre áreas de negocio y tecnología para lanzar iniciativas transversales.,4
04. Gente y Liderazgo para el Cambio,04. Gobernanza del cambio organizacional,04. Evaluación,02. Participación interdepartamental en el cambio,01. ¿Qué tan involucradas están las distintas áreas de la organización en los procesos de cambio digital?,"La transformación digital es un esfuerzo transversal, con corresponsabilidad entre todas las áreas.",La organización opera con un modelo colaborativo y sistémico para la transformación.,Las decisiones digitales se toman en comités estratégicos multidisciplinarios que alinean esfuerzos en toda la empresa.,5
04. Gente y Liderazgo para el Cambio,04. Gobernanza del cambio organizacional,04. Evaluación,03. Definición de métricas y objetivos del cambio,01. ¿Qué tan claros y medibles son los objetivos de cambio digital definidos por la organización?,No hay objetivos claros ni métricas para el cambio digital.,No existen métricas para evaluar el cambio digital ni sus impactos.,No se mide el avance de los proyectos ni se da seguimiento a resultados organizacionales.,1
04. Gente y Liderazgo para el Cambio,04. Gobernanza del cambio organizacional,04. Evaluación,03. Definición de métricas y objetivos del cambio,01. ¿Qué tan claros y medibles son los objetivos de cambio digital definidos por la organización?,"Se definen algunos objetivos generales, pero sin indicadores específicos.","Algunas métricas están definidas, pero no se usan sistemáticamente.","Se mide el uso de una plataforma digital, pero no se vincula con indicadores estratégicos.",2
04. Gente y Liderazgo para el Cambio,04. Gobernanza del cambio organizacional,04. Evaluación,03. Definición de métricas y objetivos del cambio,01. ¿Qué tan claros y medibles son los objetivos de cambio digital definidos por la organización?,Existen objetivos definidos y algunas métricas para medir avances.,"Existen métricas de avance y resultados, aunque con poco seguimiento ejecutivo.","Se reporta el cumplimiento de actividades digitales en informes mensuales, pero sin consecuencias visibles.",3
04. Gente y Liderazgo para el Cambio,04. Gobernanza del cambio organizacional,04. Evaluación,03. Definición de métricas y objetivos del cambio,01. ¿Qué tan claros y medibles son los objetivos de cambio digital definidos por la organización?,"Los objetivos son claros, medibles y están alineados con el plan estratégico.",Las métricas de cambio están alineadas al plan estratégico y monitoreadas regularmente.,Se evalúa el impacto digital en KPIs clave y se revisan avances en comités directivos.,4
04. Gente y Liderazgo para el Cambio,04. Gobernanza del cambio organizacional,04. Evaluación,03. Definición de métricas y objetivos del cambio,01. ¿Qué tan claros y medibles son los objetivos de cambio digital definidos por la organización?,Las métricas y objetivos están integrados al modelo de gestión y se monitorean continuamente.,La medición del cambio forma parte del sistema de gestión organizacional.,Los objetivos digitales están integrados a tableros de mando y condicionan decisiones estratégicas.,5
04. Gente y Liderazgo para el Cambio,05. Gestión del cambio,05. Retroalimentación,01. Aplicación de metodologías de cambio,"01. ¿Qué tan formalmente aplica su organización una metodología de gestión del cambio (como ADKAR, Kotter, etc.)?",No se aplica ninguna metodología de gestión del cambio.,No se utilizan metodologías para gestionar el cambio digital.,"Las iniciativas se lanzan sin preparación, soporte ni acompañamiento al personal.",1
04. Gente y Liderazgo para el Cambio,05. Gestión del cambio,05. Retroalimentación,01. Aplicación de metodologías de cambio,"01. ¿Qué tan formalmente aplica su organización una metodología de gestión del cambio (como ADKAR, Kotter, etc.)?","Se conoce alguna metodología, pero su aplicación es informal o limitada.","Se han aplicado herramientas aisladas de cambio, sin una metodología clara.","Se comunica un cambio con un correo masivo, pero sin capacitación o seguimiento.",2
04. Gente y Liderazgo para el Cambio,05. Gestión del cambio,05. Retroalimentación,01. Aplicación de metodologías de cambio,"01. ¿Qué tan formalmente aplica su organización una metodología de gestión del cambio (como ADKAR, Kotter, etc.)?",Se aplica una metodología en ciertos proyectos digitales.,"Se utiliza alguna metodología de cambio, pero de forma parcial o inconsistente.","Se aplica ADKAR en un proyecto, pero no se replica en otras iniciativas ni se adapta a la cultura.",3
04. Gente y Liderazgo para el Cambio,05. Gestión del cambio,05. Retroalimentación,01. Aplicación de metodologías de cambio,"01. ¿Qué tan formalmente aplica su organización una metodología de gestión del cambio (como ADKAR, Kotter, etc.)?",Se aplica una metodología formalmente en toda la organización.,Se implementa una metodología estructurada y adaptada a la organización.,"Se gestiona el cambio con una estrategia que incluye comunicación, formación y seguimiento continuo.",4
04. Gente y Liderazgo para el Cambio,05. Gestión del cambio,05. Retroalimentación,01. Aplicación de metodologías de cambio,"01. ¿Qué tan formalmente aplica su organización una metodología de gestión del cambio (como ADKAR, Kotter, etc.)?",Las metodologías están institucionalizadas y adaptadas a las necesidades de cada iniciativa digital.,"La gestión del cambio está institucionalizada, integrada al modelo operativo y replicada en todos los proyectos clave.","Todos los proyectos digitales se gestionan con una metodología común de cambio, integrada desde la planeación.",5
04. Gente y Liderazgo para el Cambio,05. Gestión del cambio,05. Retroalimentación,02. Comunicación y acompañamiento al personal,01. ¿Qué tan estructurado es el acompañamiento al personal durante los procesos de transformación digital?,No existe acompañamiento ni comunicación sobre los cambios digitales.,No existen acciones para comunicar ni acompañar al personal en los cambios digitales.,Los empleados se enteran del cambio solo cuando ya está implementado.,1
04. Gente y Liderazgo para el Cambio,05. Gestión del cambio,05. Retroalimentación,02. Comunicación y acompañamiento al personal,01. ¿Qué tan estructurado es el acompañamiento al personal durante los procesos de transformación digital?,"Hay comunicación puntual, pero sin acompañamiento activo al personal.","La comunicación es informal o reactiva, sin acompañamiento estructurado.",Se informa el cambio en una reunión aislada sin materiales de apoyo ni retroalimentación.,2
04. Gente y Liderazgo para el Cambio,05. Gestión del cambio,05. Retroalimentación,02. Comunicación y acompañamiento al personal,01. ¿Qué tan estructurado es el acompañamiento al personal durante los procesos de transformación digital?,Se comunica el cambio con lineamientos básicos y apoyo limitado.,"Existen acciones puntuales para informar y acompañar, pero no forman parte de una estrategia.","Se realizan sesiones informativas, pero sin continuidad ni seguimiento individual.",3
